date,close
2012-01-02,99.52
2012-01-03,99.86
2012-01-04,99.43
2012-01-05,98.67
2012-01-06,98.56
2012-01-09,97.87
2012-01-10,98.39
2012-01-11,97.87
2012-01-12,97.92
2012-01-13,98.06
2012-01-16,97.25
2012-01-17,98.2
2012-01-18,98.53
2012-01-19,99.19
2012-01-20,99.53
2012-01-23,100.1
2012-01-24,100.89
2012-01-25,101.02
2012-01-26,101.98
2012-01-27,101.18
2012-01-30,100.53
2012-01-31,100.63
2012-02-01,100.29
2012-02-02,99.66
2012-02-03,100.3
2012-02-06,99.97
2012-02-07,100.67
2012-02-08,102.11
2012-02-09,102.63
2012-02-10,102.43
2012-02-13,102.86
2012-02-14,102.85
2012-02-15,102.73
2012-02-16,102.31
2012-02-17,104.39
2012-02-20,105.47
2012-02-21,105.38
2012-02-22,106.22
2012-02-23,106.72
2012-02-24,107.99
2012-02-27,107.81
2012-02-28,108.39
2012-02-29,107.92
2012-03-01,107.95
2012-03-02,107.74
2012-03-05,107.54
2012-03-06,106.66
2012-03-07,105.95
2012-03-08,108.18
2012-03-09,107.93
2012-03-12,107.79
2012-03-13,108.03
2012-03-14,109.16
2012-03-15,108.82
2012-03-16,109.81
2012-03-19,109.73
2012-03-20,110.48
2012-03-21,111.11
2012-03-22,109.4
2012-03-23,109.1
2012-03-26,109.82
2012-03-27,110.57
2012-03-28,110.74
2012-03-29,109.21
2012-03-30,109.56
2012-04-02,109.95
2012-04-03,109.3
2012-04-04,108.22
2012-04-05,107.06
2012-04-10,106.48
2012-04-11,106.18
2012-04-12,106.54
2012-04-13,106.49
2012-04-16,105.18
2012-04-17,105.96
2012-04-18,106.64
2012-04-19,106.92
2012-04-20,107.81
2012-04-23,106.51
2012-04-24,106.87
2012-04-25,107.35
2012-04-26,106.96
2012-04-27,106.75
2012-04-30,105.85
2012-05-02,105.31
2012-05-03,105.49
2012-05-04,105.41
2012-05-07,104.19
2012-05-08,104.01
2012-05-09,102.99
2012-05-10,103.31
2012-05-11,103.48
2012-05-14,102.64
2012-05-15,102.65
2012-05-16,102.53
2012-05-17,101.77
2012-05-18,100.95
2012-05-21,101.06
2012-05-22,101.99
2012-05-23,100.59
2012-05-24,99.75
2012-05-25,99.8
2012-05-28,99.75
2012-05-29,99.64
2012-05-30,98.38
2012-05-31,97.66
2012-06-01,96.25
2012-06-04,97.16
2012-06-05,97.25
2012-06-06,98.82
2012-06-07,100.08
2012-06-08,98.9
2012-06-11,99.6
2012-06-12,99.4
2012-06-13,99.8
2012-06-14,99.51
2012-06-15,99.24
2012-06-18,99.75
2012-06-19,99.57
2012-06-20,100.24
2012-06-21,101.46
2012-06-22,100.68
2012-06-25,99.57
2012-06-26,98.97
2012-06-27,99.49
2012-06-28,98.6
2012-06-29,100.13
2012-07-02,100.51
2012-07-03,100.26
2012-07-04,100.28
2012-07-05,99.14
2012-07-06,98.87
2012-07-09,97.81
2012-07-10,97.64
2012-07-11,97.14
2012-07-12,96.63
2012-07-13,96.6
2012-07-16,96.25
2012-07-17,97.14
2012-07-18,96.63
2012-07-19,96.51
2012-07-20,95.86
2012-07-23,94.72
